rf,base_sharpe,fullstack_sharpe
0.02,0.4594752838902619,0.5085368385236464
0.025,0.41708892050612867,0.4672345794835321
0.03,0.3747025571219954,0.42593232044341783
0.04,0.2899298303537289,0.3433278023631892
