tau,omega_scale,VWRP,VUSA,VUKE,VFEM,WLDS,IWVL,IWQU,INFR,AGGG,IGLS,SGLN
0.025,0.5,0.0,0.15211030222633268,0.10915649287077236,0.17377111452777602,0.03523405693898177,0.16274645507473065,0.09840583066877182,0.023316319409132067,0.18398730215580872,0.06127212612769387,0.0
0.025,1.0,0.11563124954214087,0.1784624402774154,0.07603657798100935,0.13316310229592065,0.03921124198395531,0.11071197214226292,0.07459087279411918,0.02870141079622011,0.17871988374899855,0.06477124843795769,0.0
0.025,2.0,0.22374845364064178,0.17858416615167996,0.05399928313686359,0.10115600407196816,0.03922749294923629,0.07379563075430995,0.057276879685461184,0.02976271049804621,0.1775731120704703,0.0648762670413226,0.0
0.05,0.5,0.0,0.03862075737148759,0.14662940880083355,0.20955000700157228,0.0,0.2196774834721339,0.12268122888762201,0.0,0.19172045462545284,0.07112065984089788,0.0
0.05,1.0,0.0,0.1476718869555931,0.10517482912533675,0.17151036813076254,0.0337676673563553,0.16120342009329913,0.09573480734986028,0.027333424083265556,0.1733343489559163,0.08426924794961102,0.0
0.05,2.0,0.11364234085033005,0.1734688739549078,0.07271668395668626,0.13108990963121292,0.03768952362227241,0.10994953883014828,0.0727664882325244,0.03085037321378452,0.1702372199036465,0.08758904780448695,0.0
0.1,0.5,0.0,0.0,0.19237498533986336,0.2237302401648436,0.0,0.23493235416117342,0.06985580210614663,0.0,0.17508674235350852,0.10401987587446446,0.0
0.1,1.0,0.0,0.033364159491132896,0.13481851228182698,0.2022101492793242,0.0,0.21125843112476156,0.11328948087453442,0.026899263958450447,0.16447929783019222,0.11368070515977734,0.0
0.1,2.0,0.0,0.1392058266970315,0.09770488465910084,0.16715452228079103,0.031025042288210514,0.15843710840698072,0.09112873178512722,0.034374747473473126,0.1540640371145492,0.12690509929473587,0.0
