variant,E[r] nominal,E[r] real,volatility,sharpe_rf4.0,sharpe_rf2.5,max_drawdown_est,blended_TER,equity_pct,bond_pct,real_asset_pct,gold_pct,trend_pct,crypto_pct,eff_num_bets
Base (current),0.07420083810047502,0.048000817659000106,0.11796246718990003,0.2899298303537289,0.41708892050612867,-0.27485254855246705,0.001806008513899824,0.7150629790112071,0.2576035969055273,0.027333424083265556,0.0,0.0,0.0,5.389075999819853
Mod 1: GSPX hedge US,0.0776607181414094,0.051376310381862744,0.11794007332000259,0.3193207964118008,0.4465040308947999,-0.27480037083560604,0.0014776842122207622,0.7748595654421259,0.14775976497512097,0.041734790561193794,0.0356458790215594,0.0,0.0,3.4718535622831217
Mod 2: +Trend 12%,0.07580690006118704,0.049567707376767745,0.11630502331301402,0.3078706236515616,0.43684183721325104,-0.2709907043193227,0.0026307157287494805,0.6977363201783141,0.15155875626993606,0.030704923551749874,0.0,0.12,0.0,5.493152964725844
Mod 3: Sharpen views,0.07614355562703143,0.04989615183125018,0.12136913279075275,0.29779858186302577,0.4213884902284489,-0.28279007940245393,0.001819638460146268,0.7249158858579013,0.27508411414209877,0.0,0.0,0.0,0.0,3.8647517301726158
Mod 4: rf 4.0%->2.5%,0.07420083810047502,0.048000817659000106,0.11796246718990003,0.2899298303537289,0.41708892050612867,-0.27485254855246705,0.001806008513899824,0.7150629790112071,0.2576035969055273,0.027333424083265556,0.0,0.0,0.0,5.389075999819853
Mod 5: +Crypto 2%,0.07441849136720022,0.04821316230946371,0.11669273589369628,0.2949497336197042,0.4234924392570506,-0.27189407463231235,0.0019508286327316498,0.6827895293165567,0.26258563670484747,0.034624833978595865,0.0,0.0,0.02,5.299220178972122
Mod 6: Risk parity (ERC),0.05616844134517876,0.030408235458711186,0.05392108620548254,0.2998537767500462,0.5780380837730535,-0.12563613085877431,0.0021880731263425827,0.2407096907832833,0.530552588165244,0.03813631509958036,0.06461269534706701,0.12598871060482542,0.0,11.998384009916393
Mod 7: Full stack,0.08156283582814881,0.05518325446648675,0.12105875359369114,0.3433278023631892,0.4672345794835321,-0.28206689587330036,0.0024407531895746064,0.7820676914085396,0.034409354479827535,0.028772281465244392,0.034750672646388384,0.12,0.0,3.304413886577663
Mod 8: Full stack +Crypto,0.0823056236978312,0.05590792555885993,0.12191344052350406,0.3470136148743581,0.47005173057012595,-0.2840583164197645,0.0025987846908514267,0.767254791795577,0.03842501210416634,0.02810013424079776,0.026220061859458865,0.12,0.02,3.4830487595933146
Benchmark: 60/40,0.06673580484624324,0.04071785838657882,0.0966899490560696,0.27651069327525857,0.43164574243431475,-0.2252875813006422,0.00172,0.6,0.4,0.0,0.0,0.0,0.0,1.1656042876383916
Benchmark: 100% VWRP,0.08239598634877181,0.0559960842427043,0.15291567933212333,0.2772507471695585,0.37534402357858476,-0.35629353284384735,0.0022,1.0,0.0,0.0,0.0,0.0,0.0,1.0
