variant,w_VWRP,w_VUSA,w_VUKE,w_VFEM,w_WLDS,w_IWVL,w_IWQU,w_INFR,w_AGGG,w_IGLS,w_SGLN,w_IWMO
Base (current),0.0,0.1476718869555931,0.1051748291253367,0.1715103681307625,0.0337676673563553,0.1612034200932991,0.0957348073498602,0.0273334240832655,0.1733343489559163,0.084269247949611,0.0,0.0
Mod 1: +Momentum (IWMO),0.3312603216768772,0.13581535057111843,0.16669373144433727,0.15364794010197058,0.04383559204405869,0.0,0.0,0.033214992625083324,0.0,0.10539856839981544,0.030133503136739074,0.0
Mod 2: Gold >=5% (SGLN),0.0,0.15435165725721298,0.1088160844281249,0.17212568181475968,0.03717054072781643,0.17034674973176173,0.10990362817712719,0.024283062200122867,0.17300259566307427,0.0,0.05,0.0
Mod 3: Infra >=7% (INFR),0.0,0.16746229906117735,0.11856615173765714,0.1888804452205606,0.02995657302002034,0.15144984426189245,0.08795267201949149,0.07,0.1857320146792006,0.0,0.0,0.0
Mod 4: Value+Momentum,0.2997857866338721,0.16746884171541024,0.15599207416422853,0.16756445087743171,0.043322890624432106,0.09999999999999998,0.0,0.03271835081928088,0.0,0.0,0.033147605165344374,0.0
Mod 5: Kitchen sink,0.2653408633332629,0.17969473878508524,0.14161331254385157,0.16013359726354726,0.03321748807425303,0.10000000000000005,0.0,0.07000000000000002,0.0,0.0,0.05000000000000002,0.0
Mod 6: Unconstrained,0.331260625040841,0.13581520194865807,0.1666936729008345,0.15364787627027415,0.04383527665334325,1.0912000049591942e-16,3.812657682523528e-17,0.03321510000726381,9.106458425241802e-17,0.10539866031627573,0.030133586862509287,3.693375065517869e-18
Benchmark: 60/40,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
Benchmark: 100% VWRP,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
