age,isa,lisa,sipp,gia,total_p50
30,11547.764079102972,0.0,20499.439371765453,0.0,32039.988073772787
40,148399.75976606915,56068.390879909144,462767.2079458863,13586.973738457333,681756.4044352483
50,437093.06622562575,151320.11852276785,1156472.844977078,113964.31449941368,1861007.358534126
60,944642.611394832,237307.89242145306,2250771.499785334,257353.75249534615,3693386.185244102
70,1768134.5880665733,375933.2114702051,4026630.4018590036,468037.16944557294,6648208.56285619
