age,year,p10,p50,p90
30,2031,27164.96199736852,31508.499526594158,36795.6838089205
40,2041,214980.2892738292,291857.4105867221,405387.8259148869
50,2051,444508.3956225369,693727.1178211414,1111779.88245605
60,2061,773829.8321778371,1321796.8189918208,2414209.817891667
65,2066,970499.2299732077,1767029.636656681,3368650.170339632
70,2071,1192081.3697790885,2307698.700954187,4698246.123576316
