age,year,p10,p50,p90
30,2031,27218.90035835853,31711.355669974022,37204.97336897586
40,2041,217541.94480008824,298345.0246170109,418798.5195638558
50,2051,456214.12362566375,723443.8245227451,1178365.4132764987
60,2061,809236.9964289021,1409488.1037836785,2630596.833254418
65,2066,1023601.7402908804,1906637.5467697112,3725811.525681679
70,2071,1270889.793008262,2519683.5122258896,5276829.036487267
