variant,E[r] nominal,E[r] real,volatility,sharpe_rf4.0,sharpe_rf2.5,max_drawdown_est,blended_TER,equity_pct,bond_pct,real_asset_pct,gold_pct,trend_pct,crypto_pct,eff_num_bets
"Full stack, BTC E[r]=8%",0.08150562369783121,0.055127437753981656,0.12191344052350406,0.34045158203725057,0.46348969773301835,-0.2840583164197645,0.0025987846908514267,0.767254791795577,0.03842501210416634,0.02810013424079776,0.026220061859458865,0.12,0.02,3.4830487595933146
"Full stack, BTC E[r]=12%",0.0823056236978312,0.05590792555885993,0.12191344052350406,0.3470136148743581,0.47005173057012595,-0.2840583164197645,0.0025987846908514267,0.767254791795577,0.03842501210416634,0.02810013424079776,0.026220061859458865,0.12,0.02,3.4830487595933146
"Full stack, BTC E[r]=16%",0.0831056236978312,0.056688413363737755,0.12191344052350406,0.3535756477114657,0.4766137634072335,-0.2840583164197645,0.0025987846908514267,0.767254791795577,0.03842501210416634,0.02810013424079776,0.026220061859458865,0.12,0.02,3.4830487595933146
