age,year,p10,p50,p90
30,2031,27791.468526335146,32559.45035461484,38406.39790002403
40,2041,235013.0841579849,326775.22006498114,465168.2578770184
50,2051,530839.414312173,864816.6941279965,1444741.989324783
60,2061,1028040.206948087,1862065.1473532398,3595322.7444238877
65,2066,1359316.258980619,2647566.43739421,5402619.052060076
70,2071,1777347.9636752415,3710417.3718555626,8168743.477277236
