age,year,p10,p50,p90
30,2031,27942.254237563327,32388.7341680969,37769.430816296735
40,2041,236244.70856400044,321233.82894010824,445463.7953175378
50,2051,530924.0972861947,835896.046697508,1345870.504915669
60,2061,1018203.9748608904,1766734.3609115942,3251223.2702485537
65,2066,1339839.359510194,2485505.6571851326,4813743.565936398
70,2071,1741435.2934241816,3449753.8299432537,7142134.705152092
