age,year,p10,p50,p90
30,2031,27012.485929113118,31316.214387249354,36566.335182190545
40,2041,210838.23148916897,285744.9374444261,396688.12380163244
50,2051,428404.115436771,666175.7960563847,1063357.6596259633
60,2061,731026.3609078466,1242002.1368059884,2254770.8067761287
65,2066,908275.4120012893,1641785.7832432394,3111755.8627413167
70,2071,1103158.6546384094,2120331.3089255085,4279643.515209829
