age,year,p10,p50,p90
30,2031,26842.700168158444,31388.76620667139,36996.646250935824
40,2041,208727.76280665855,287986.2905643835,407612.60755626665
50,2051,423383.4358358324,675697.1627399394,1110762.4795367776
60,2061,723364.298640234,1268981.9860422001,2393306.010271536
65,2066,899999.8202245089,1685380.3235088293,3322753.218063064
70,2071,1093348.7130569618,2183987.701589301,4608972.703160431
