age,year,p10,p50,p90
30,2031,28120.69102688506,32647.50074043784,38128.23230076729
40,2041,241754.43467809542,330026.21214440244,460053.4182698251
50,2051,556318.0430191865,882326.0732684046,1431522.3041310054
60,2061,1094596.4616354287,1922993.968163812,3573327.112493645
65,2066,1460120.6830916267,2746153.0752912313,5390115.8162690615
70,2071,1930790.6908741381,3881882.646951058,8166145.887677656
