age,year,p10,p50,p90
30,2031,27243.87096093637,30942.507706175355,35338.84856514612
40,2041,211365.3431846057,274315.44521167636,363122.17283409054
50,2051,423122.88720183814,616611.7088817847,915703.8920584556
60,2061,703009.0070294265,1103735.853113913,1828684.7853955748
65,2066,864622.9472251083,1425385.09192602,2437498.224401502
70,2071,1036627.8446240447,1798464.1394699304,3248860.029543068
