deposit,house_feasible_prob,terminal_p50,wealth_at_30_p50
40000.0,1.0,4839538.160664333,36100.13672892457
50000.0,0.9999,4774470.363676857,26100.136728924565
60000.0,0.9769,4708096.883542712,16100.136728924565
