tau,omega_scale,VWRP,VUSA,VUKE,VFEM,WLDS,IWVL,IWQU,INFR,AGGG,IGLS,SGLN
0.025,0.5,0.0,0.11112701267251775,0.11617600500565207,0.20433762476163372,0.02881582235493046,0.18217386444189212,0.0944250171227006,0.07463381115236864,0.1328125883613373,0.055498254126967426,0.0
0.025,1.0,0.05968352788829265,0.17700004465734342,0.08272780886622193,0.15755064051750187,0.03902511076203342,0.13162866596594694,0.08053888141426034,0.06353786483238956,0.14530979909757077,0.06299765599843919,0.0
0.025,2.0,0.1864325753595396,0.1756471632795421,0.05651468192845689,0.11301946747250818,0.038521549651719604,0.08400089225632125,0.05920238737220117,0.04920949403486025,0.1553087440671732,0.0620767299974398,0.02006631458023808
0.05,0.5,0.0,0.0,0.1570953032364263,0.24538257413849693,0.0,0.2363640889621608,0.09648937725784155,0.08599537459233358,0.11674666896828047,0.06192661284446034,0.0
0.05,1.0,0.0,0.1073007650193905,0.11175110650175112,0.2015777910536888,0.027641005180443424,0.18081402968868987,0.09166170422172107,0.07766245783369015,0.12311304005605922,0.07847810044456577,0.0
0.05,2.0,0.05776552822460013,0.1727126121453713,0.07964510713701133,0.15503150792690573,0.03756154745112753,0.1305981188377672,0.07843910810785626,0.06499010030368446,0.13721297392414622,0.08604339594152983,0.0
0.1,0.5,0.0,0.0,0.21465159498011557,0.2648550979968859,0.0,0.23268420429763376,0.0,0.10450023490272982,0.08663887871647666,0.09666998910615833,0.0
0.1,1.0,0.0,0.0,0.14735539615671864,0.24049237069170337,0.0,0.22987122117979616,0.08619710193901142,0.09637105995986596,0.0929799150972119,0.10673293497569254,0.0
0.1,2.0,0.0,0.10012568083454029,0.10415155502519508,0.19628528051077218,0.02517791957580157,0.17762769036345796,0.08703557764093375,0.08316572247896219,0.1066210547825901,0.11980951878774684,0.0
