variant,terminal_p10,terminal_p50,terminal_p90,wealth_at_60_p50,wealth_at_30_p50,cumulative_relief,lisa_bonus_total,sipp_tax_paid,gia_tax_paid,accessible_pre57_pct,house_feasible_prob,retirement_income_60_4pct
"Status quo (£1,600/m, all-ISA)",1372646.454150253,2710874.042256872,5675730.657881088,1525947.6654418064,74706.67709047726,0.0,0.0,0.0,0.0,1.0,0.9995,61037.906617672255
All-ISA (career-aware),2747439.6411036826,4987563.577171328,9757551.603356807,2807072.271917898,72396.30924099701,0.0,0.0,0.0,282989.7292482944,1.0,0.999,112282.89087671593
All-ISA + house,2619083.535566528,4667523.424074329,8999447.497788869,2611567.7563041304,22396.309240997012,0.0,0.0,0.0,282989.7292482944,1.0,0.999,104462.71025216521
Mod 2 — LISA priority,2666474.4213775126,4774470.363676857,9242372.813136572,2677601.4972139234,26100.136728924565,0.0,23416.666666666664,0.0,282989.7292482944,0.8813296096995696,0.9999,107104.05988855693
Mod 3 — SIPP-max (career),3715357.3320011506,6997319.248213283,14033403.75744584,3855583.604018856,90850.95209159037,755833.3333333333,0.0,750254.4648634709,55014.829047764215,0.3773070791188643,0.0,154223.34416075423
Mod 4 — LISA + SIPP,3271435.2527364586,6054098.018447833,11923766.684258778,3247463.9524299884,62115.41411646561,746299.235409652,23416.666666666664,733928.5276455074,9877.817339384987,0.1591517134267552,0.0001,129898.55809719954
Mod 5 — Lifecycle optimum,3613164.0444141123,6726031.446110973,13364050.361787766,3693386.185244102,32039.988073772787,745449.8456790114,22394.097222222226,720363.9800222728,55014.829047764215,0.2964506435050438,0.947,147735.44740976408
