case,ann_return_net,ann_vol,p10_final,p50_final,p90_final,prob_2m,prob_5m
"A: v2 static + GBP1,600/m",0.09311734255592774,0.1155323375959197,1772852.5488270132,3507277.3557827966,7321426.967477279,0.8537,0.263
"B: best v3 dynamic + GBP1,600/m",0.10069527247853127,0.12419186021988518,1983405.8027456454,4190551.768599666,9362019.221839134,0.8974,0.3843
"C: v2 static + GBP1,800/m",0.09311734255592774,0.1155323375959197,1992641.8954616662,3940179.423394143,8225525.516716741,0.8987,0.3367
