age,year,p10,p50,p90
30,2031,27957.54012701978,32777.38979976165,38691.68504064739
40,2041,239909.06436055125,334511.4706815358,477282.1634665207
50,2051,553338.2414627908,906067.2687252369,1520373.269947589
60,2061,1096088.0407728578,2001215.1955880846,3888887.30249109
65,2066,1466572.8864721237,2880442.6364471857,5939698.427814204
70,2071,1944927.2165536208,4107179.9525532555,9133046.61134292
