strategy,ann_return_gross,ann_return_net,ann_vol,sharpe_rf4.0,sharpe_rf2.5,sortino_rf4.0,max_drawdown,calmar,ann_turnover,tc_drag,hit_rate,sharpe_IS,sharpe_OOS,sharpe_gap_OOS_minus_IS,ann_return_net_OOS,max_drawdown_OOS
vol_target=0.08,0.0796115766519403,0.07926182930264125,0.10987936735524537,0.3573175769724432,0.4938309221167073,0.3501387339915688,-0.15626472124352908,0.5072279185723341,0.6547836578017431,0.00032739182890087156,0.6101694915254238,0.3283882372562054,0.38607253643111084,0.05768429917490542,0.08269414814830744,-0.13513790892833855
vol_target=0.1,0.08707340995895674,0.08676938749758278,0.11463952763508979,0.4079691225390851,0.5388140440895878,0.39442059450431693,-0.1651750662622643,0.5253177096342779,0.5657170543674797,0.00028285852718373984,0.6186440677966102,0.3560783136968538,0.4599860051145121,0.10390769141765832,0.09350339381766148,-0.15733932656093252
vol_target=0.12,0.09114881246015205,0.09090347322285974,0.11848861615764111,0.42960644552668337,0.5562008854519798,0.410152101539663,-0.15856809217156143,0.5732772084090378,0.45272422071788093,0.00022636211035894046,0.6398305084745762,0.3450961946989257,0.5158985387881454,0.17080234408921968,0.10194542508987325,-0.15338804095396663
vol_target=uncapped,0.08707340995895674,0.08676938749758278,0.11463952763508979,0.4079691225390851,0.5388140440895878,0.39442059450431693,-0.1651750662622643,0.5253177096342779,0.5657170543674797,0.00028285852718373984,0.6186440677966102,0.3560783136968538,0.4599860051145121,0.10390769141765832,0.09350339381766148,-0.15733932656093252
