income_scale,terminal_p50,cumulative_relief,wealth_at_60_p50
0.75,5364989.151653102,729188.6574074072,2917062.2567694644
1.0,6726031.446110973,745449.8456790114,3693386.185244102
1.25,7988312.699267328,761114.6797839495,4415196.910730714
