,VWRP,VUSA,VUKE,VFEM,WLDS,IWVL,IWQU,INFR,AGGG,IGLS,SGLN,GBPUSD,EFA,XLU,GCF,TNX
2000-05-31,,,6312.7001953125,,,,,,,,,,,,,
2000-06-30,,1454.5999755859375,6365.2998046875,,36.927513122558594,33.168922424316406,16.29905891418457,,,,,,,5.513056755065918,,6.01800012588501
2000-07-31,,1430.8299560546875,6672.7001953125,,35.92642593383789,33.65202713012695,15.790069580078125,,,,,,,5.6408233642578125,,6.0289998054504395
2000-08-31,,1517.6800537109375,6294.2001953125,,38.42875289916992,35.815704345703125,16.728302001953125,,,,,,,5.860594749450684,,5.729000091552734
2000-09-30,,1436.510009765625,6438.39990234375,,37.04352951049805,35.80683898925781,15.142729759216309,,,,,,,6.58042573928833,273.6000061035156,5.7779998779296875
2000-10-31,,1429.4000244140625,,,35.51059341430664,36.5593376159668,14.703033447265625,,,,,,,7.020417213439941,,5.756999969482422
2000-11-30,,1314.949951171875,6142.2001953125,,31.96849822998047,34.477848052978516,13.122000694274902,,,,,,,7.017202854156494,270.1000061035156,5.439000129699707
2000-12-31,,1320.280029296875,6222.5,,34.3448371887207,36.07899475097656,12.46561336517334,,,,,,,6.82130241394043,272.0,5.110000133514404
2001-01-31,,1366.010009765625,6297.5,,36.35746383666992,37.92084884643555,12.925320625305176,,,,,,,6.531972408294678,265.6000061035156,5.178999900817871
2001-02-28,,1239.93994140625,5917.89990234375,,33.92520523071289,35.414154052734375,11.380146026611328,,,,,,,6.667531967163086,266.79998779296875,4.9079999923706055
2001-03-31,,1160.3299560546875,5967.0,,32.285709381103516,33.97768020629883,10.34391975402832,,,,,,,6.525713920593262,257.8999938964844,4.914999961853027
2001-04-30,,1249.4599609375,5796.2001953125,,35.02309036254883,36.386024475097656,11.279458999633789,,,,,,,6.889101028442383,,5.3379998207092285
2001-05-31,,1255.8199462890625,5642.5,,35.78131866455078,36.57535934448242,11.349135398864746,,,,,,,6.937410354614258,265.29998779296875,5.413000106811523
2001-06-30,,1224.3800048828125,5529.10009765625,,36.79229736328125,35.468040466308594,11.24829387664795,,,,,,,6.542546272277832,270.6000061035156,5.389999866485596
2001-07-31,,1211.22998046875,5345.0,,34.841346740722656,34.915157318115234,11.156059265136719,,,,,,,6.530091285705566,,5.0370001792907715
2001-08-31,,1133.5799560546875,4903.39990234375,,33.99412536621094,32.836612701416016,10.379776000976562,,,,,,,6.297402381896973,274.3999938964844,4.815999984741211
2001-09-30,,1040.93994140625,5039.7001953125,,29.037456512451172,29.73892593383789,9.698925018310547,,,,,,19.51188087463379,6.189523696899414,292.3999938964844,4.574999809265137
2001-10-31,,1059.780029296875,,,30.811582565307617,29.629531860351562,10.007233619689941,,,,,,19.838430404663086,5.908936977386475,279.5,4.263000011444092
2001-11-30,,1139.449951171875,5203.60009765625,,33.28700637817383,31.542236328125,10.90851879119873,,,,,,20.532241821289062,5.834328651428223,273.8999938964844,4.74399995803833
2001-12-31,,1148.0799560546875,5217.39990234375,,35.01314163208008,31.981916427612305,10.91403865814209,,,,,,20.642990112304688,5.975018501281738,278.70001220703125,5.0320000648498535
2002-01-31,,1130.199951171875,5164.7998046875,,35.06029510498047,31.19365882873535,10.92184066772461,,,,,,19.46263885498047,5.804340362548828,282.1000061035156,5.025000095367432
2002-02-28,,1106.72998046875,5101.0,,33.96693420410156,30.978832244873047,10.626851081848145,,,,,,19.69639778137207,5.7935991287231445,296.70001220703125,4.859000205993652
2002-03-31,,1147.3900146484375,5165.60009765625,,36.481666564941406,32.47696304321289,10.868372917175293,,,,,,20.795923233032227,6.053528308868408,302.6000061035156,5.406000137329102
2002-04-30,,1076.9200439453125,5085.10009765625,,36.96217346191406,30.898345947265625,10.093544006347656,,,,,,21.1127986907959,5.732211589813232,308.8999938964844,5.091000080108643
2002-05-31,,1067.1400146484375,4656.39990234375,,35.21074676513672,30.962425231933594,9.879338264465332,,,,,,21.225353240966797,5.684568405151367,326.5,5.043000221252441
2002-06-30,,989.8200073242188,4246.2001953125,,33.07620620727539,28.888961791992188,9.151778221130371,,,,,,20.52754020690918,5.251461029052734,313.5,4.823999881744385
2002-07-31,,911.6199951171875,4227.2998046875,,28.73729133605957,25.847238540649414,8.630533218383789,,,,,,18.570884704589844,4.521656513214111,303.20001220703125,4.465000152587891
2002-08-31,,916.0700073242188,3721.800048828125,,28.554378509521484,26.104522705078125,8.698995590209961,,,51.86213684082031,,,18.38907241821289,4.700948715209961,312.3999938964844,4.13700008392334
2002-09-30,,815.280029296875,4039.699951171875,,26.17636489868164,23.051982879638672,7.766367435455322,,,52.16084671020508,,,16.48436737060547,4.08217191696167,,3.6070001125335693
2002-10-31,,885.760009765625,,,27.34653091430664,25.030242919921875,8.544768333435059,,,52.2968864440918,,,17.11638832092285,4.036753177642822,318.0,3.9110000133514404
2002-11-30,,936.3099975585938,4169.39990234375,,29.6627254486084,26.628786087036133,8.932575225830078,,,52.086578369140625,,,18.077396392822266,4.154049396514893,316.79998779296875,4.2129998207092285
2002-12-31,,879.8200073242188,3940.39990234375,,27.827383041381836,25.288833618164062,8.333242416381836,,,52.55416488647461,,,17.144086837768555,4.238148212432861,,3.818000078201294
2003-01-31,,855.7000122070312,3567.39990234375,,27.382848739624023,24.674222946166992,8.128482818603516,,,52.68195343017578,,,16.72034454345703,4.187868118286133,368.29998779296875,3.9749999046325684
2003-02-28,,841.1500244140625,3655.60009765625,,26.560331344604492,24.083227157592773,8.0986909866333,,,52.81013107299805,,,16.367401123046875,3.963916540145874,350.20001220703125,3.696000099182129
2003-03-31,,848.1799926757812,3926.0,,26.556640625,23.793642044067383,8.243911743164062,,,52.91419982910156,,,15.987997055053711,4.1206817626953125,335.8999938964844,3.822999954223633
2003-04-30,,916.9199829101562,4048.10009765625,,29.352771759033203,26.349397659301758,8.847721099853516,,,52.99578094482422,,,17.61326789855957,4.524607181549072,339.1000061035156,3.8570001125335693
2003-05-31,,963.5900268554688,4031.199951171875,8.24482536315918,32.54314422607422,28.344318389892578,9.1520414352417,,,53.17717361450195,,,18.74972152709961,4.981820583343506,364.5,3.3499999046325684
2003-06-30,,974.5,4157.0,8.590899467468262,32.86475372314453,28.320566177368164,9.260329246520996,,,53.28041076660156,,,19.113245010375977,5.006717681884766,,3.5280001163482666
2003-07-31,,990.3099975585938,4161.10009765625,9.07812213897705,35.059051513671875,29.116498947143555,9.407793998718262,,,53.0140266418457,,,19.402658462524414,4.711577415466309,354.0,4.473999977111816
2003-08-31,,1008.010009765625,4091.300048828125,9.803223609924316,36.73646926879883,29.664962768554688,9.57441520690918,,,52.98906326293945,,,20.04146385192871,4.805169105529785,375.70001220703125,4.453999996185303
2003-09-30,,995.969970703125,4287.60009765625,9.739459991455078,35.93662643432617,29.009187698364258,9.529484748840332,,,53.494590759277344,,,20.646751403808594,4.999203681945801,385.3999938964844,3.937000036239624
2003-10-31,,1050.7099609375,,10.633652687072754,39.15729522705078,31.186105728149414,9.966543197631836,,49.3790397644043,53.28343963623047,,,21.98790168762207,5.078644275665283,384.5,4.301000118255615
2003-11-30,,1058.199951171875,4342.60009765625,10.833558082580566,40.623355865478516,31.491586685180664,10.067919731140137,,49.36934280395508,53.239749908447266,,,22.543777465820312,5.09016227722168,396.79998779296875,4.320000171661377
2003-12-31,,1111.9200439453125,4476.89990234375,11.745670318603516,41.12444305419922,33.138633728027344,10.437750816345215,,49.753604888916016,53.52586364746094,,1.7888127565383911,24.137285232543945,5.373459815979004,415.70001220703125,4.256999969482422
2004-01-31,,1131.1300048828125,4390.7001953125,12.092835426330566,43.14796447753906,34.16841506958008,10.692195892333984,,50.24967956542969,53.95624923706055,,1.8244845867156982,24.78955078125,5.535257816314697,402.20001220703125,4.138000011444092
2004-02-29,,1144.93994140625,4492.2001953125,12.571074485778809,43.558563232421875,34.82118606567383,10.752496719360352,,50.685577392578125,54.1392822265625,,1.8744845390319824,25.35946273803711,5.639871597290039,,3.9839999675750732
2004-03-31,,1126.2099609375,4489.7001953125,12.640219688415527,43.89449691772461,34.5008544921875,10.462296485900879,,51.0491828918457,54.29590606689453,,1.7785998582839966,25.377389907836914,5.653822898864746,427.29998779296875,3.8369998931884766
2004-04-30,,1107.300048828125,4430.7001953125,11.40140438079834,41.54816818237305,33.73418045043945,10.410253524780273,,49.6103515625,53.71479415893555,,1.8326095342636108,24.517131805419922,5.4562506675720215,387.0,4.500999927520752
2004-05-31,,1120.6800537109375,4464.10009765625,11.534646034240723,42.44188690185547,34.20142364501953,10.602931022644043,,49.413917541503906,53.713836669921875,,1.8202005624771118,24.796714782714844,5.5218729972839355,394.0,4.65500020980835
2004-06-30,,1140.8399658203125,4413.10009765625,11.64124584197998,44.120845794677734,34.75973892211914,10.7313814163208,,49.74959945678711,53.69794464111328,,1.822090983390808,25.628297805786133,5.568750381469727,392.6000061035156,4.617000102996826
2004-07-31,,1101.719970703125,4459.2998046875,11.217743873596191,41.24196243286133,34.21108627319336,10.236967086791992,,50.210357666015625,53.8320426940918,,1.8024837970733643,24.535058975219727,5.702617645263672,391.0,4.474999904632568
2004-08-31,,1104.239990234375,4570.7998046875,11.613876342773438,40.61956787109375,34.601043701171875,10.2123441696167,,51.02154541015625,54.232425689697266,,1.8128092288970947,24.827184677124023,5.934316158294678,,4.131999969482422
2004-09-30,,1114.5799560546875,4624.2001953125,12.424147605895996,42.6854362487793,35.0701789855957,10.200982093811035,,51.28936767578125,54.18865966796875,,1.8414850234985352,25.341543197631836,5.9224934577941895,418.70001220703125,4.11899995803833
2004-10-31,,1130.199951171875,,12.77778434753418,43.66541290283203,35.76274108886719,10.398782730102539,,51.7346305847168,54.34855270385742,,,26.228673934936523,6.262838840484619,428.5,4.0289998054504395
2004-11-30,,1173.8199462890625,4703.2001953125,14.049006462097168,47.68281936645508,37.53129196166992,10.740781784057617,,51.37211608886719,54.03193664550781,,1.9095995426177979,27.82372283935547,6.5417680740356445,451.29998779296875,4.357999801635742
2004-12-31,,1211.9200439453125,4814.2998046875,14.53805160522461,48.667449951171875,38.479835510253906,10.972585678100586,,51.612144470214844,54.049835205078125,43.79999923706055,1.9197911024093628,28.719825744628906,6.6395134925842285,437.5,4.216000080108643
2005-01-31,,1181.27001953125,4852.2998046875,14.637764930725098,46.83961868286133,37.74935531616211,10.831840515136719,,52.17556381225586,54.22860336303711,42.220001220703125,1.8841972351074219,28.606128692626953,6.8448896408081055,421.79998779296875,4.132999897003174
2005-02-28,,1203.5999755859375,4968.5,16.055028915405273,47.608707427978516,38.45662307739258,11.096402168273926,,51.825679779052734,53.975399017333984,43.529998779296875,1.9192017316818237,29.68885612487793,6.991702556610107,436.5,4.359000205993652
2005-03-31,,1180.5899658203125,4801.7001953125,14.78503131866455,46.05166244506836,37.48490524291992,10.831840515136719,,51.330833435058594,53.98892593383789,42.81999969482422,1.9087976217269897,28.910015106201172,7.01577091217041,428.70001220703125,4.495999813079834
2005-04-30,,1156.8499755859375,4964.0,14.6005859375,43.64223861694336,36.953880310058594,10.706990242004395,,52.18427658081055,54.25162124633789,43.349998474121094,1.8176862001419067,28.442346572875977,7.28727912902832,435.0,4.201000213623047
2005-05-31,,1191.5,5113.2001953125,15.0620698928833,46.4636116027832,38.19331359863281,11.049773216247559,,52.623226165771484,54.46651840209961,41.650001525878906,1.7902858257293701,28.196680068969727,7.282423496246338,,4.00600004196167
2005-06-30,,1191.3299560546875,5282.2998046875,15.659883499145508,48.24732208251953,38.6333122253418,10.8803071975708,,53.07791519165039,54.60118103027344,43.439998626708984,1.7543859481811523,28.600664138793945,7.653457164764404,435.8999938964844,3.944999933242798
2005-07-31,,1234.1800537109375,5296.89990234375,16.862815856933594,51.53839874267578,39.97987365722656,11.380643844604492,,52.53692626953125,54.39908218383789,42.81999969482422,1.8033939599990845,29.45775032043457,7.889561176300049,429.8999938964844,4.285999774932861
