return_shift,median_final,p10_final,p90_final,prob_real_1m,prob_real_5m
-0.01,1673710.6954536103,902106.7691234873,3309198.152847961,0.8552,0.021
0.0,2136736.8779098615,1121405.339623856,4299591.574892052,0.9368,0.0586
0.01,2752631.1938264873,1411426.6126412381,5654756.8272510795,0.9758,0.1468
